cell_set_accession	cell_label	Add_to_CL
CS20230722_SUBC_306	306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba	
CS20230722_SUBC_307	307 RO-RPA Pkd2l1 Gaba	
CS20230722_SUBC_308	308 DCO Il22 Gly-Gaba	
CS20230722_SUBC_309	309 CB PLI Gly-Gaba	
CS20230722_SUBC_310	310 CBX Golgi Gly-Gaba	
CS20230722_SUBC_311	311 CBX MLI Megf11 Gaba	
CS20230722_SUBC_312	312 CBX MLI Cdh22 Gaba	
CS20230722_SUBC_313	313 CBX Purkinje Gaba	
CS20230722_SUBC_314	314 CB Granule Glut	
CS20230722_SUBC_315	315 DCO UBC Glut	
CS20230722_SUBC_316	316 Bergmann NN	
CS20230722_SUBC_317	317 Astro-CB NN	
CS20230722_SUBC_318	318 Astro-NT NN	
CS20230722_SUBC_319	319 Astro-TE NN	
CS20230722_SUBC_320	320 Astro-OLF NN	
CS20230722_SUBC_321	321 Astroependymal NN	
CS20230722_SUBC_322	322 Tanycyte NN	
CS20230722_SUBC_323	323 Ependymal NN	
CS20230722_SUBC_324	324 Hypendymal NN	
CS20230722_SUBC_325	325 CHOR NN	
CS20230722_SUBC_326	326 OPC NN	TRUE
CS20230722_SUBC_327	327 Oligo NN	TRUE
CS20230722_SUBC_328	328 OEC NN	
CS20230722_SUBC_329	329 ABC NN	
CS20230722_SUBC_330	330 VLMC NN	
CS20230722_SUBC_331	331 Peri NN	
CS20230722_SUBC_332	332 SMC NN	
CS20230722_SUBC_333	333 Endo NN	
CS20230722_SUBC_334	334 Microglia NN	
CS20230722_SUBC_335	335 BAM NN	
CS20230722_SUBC_336	336 Monocytes NN	
CS20230722_SUBC_337	337 DC NN	
CS20230722_SUBC_338	338 Lymphoid NN	
CS20230722_SUPT_0001	0001 CLA-EPd-CTX Car3 Glut_1	
CS20230722_SUPT_0002	0002 CLA-EPd-CTX Car3 Glut_2	
CS20230722_SUPT_0003	0003 IT EP-CLA Glut_1	
CS20230722_SUPT_0004	0004 IT EP-CLA Glut_2	
CS20230722_SUPT_0005	0005 IT EP-CLA Glut_3	
