software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,subclass,037 DG Glut,450,0.5379746835443038,1.0,0.18888888888888888,249262,0,365,85,3,"['ENSMUSG00000010175', 'ENSMUSG00000049630', 'ENSMUSG00000027296']",0.029197465628385544
4.1,subclass,038 DG-PIR Ex IMN,342,0.4736842105263157,0.9473684210526315,0.15789473684210525,249367,3,288,54,2,"['ENSMUSG00000034701', 'ENSMUSG00000074480']",0.27827441692352295
4.1,subclass,039 OB Meis2 Thsd7b Gaba,492,0.1660839160839161,0.95,0.03861788617886179,249219,1,473,19,3,"['ENSMUSG00000029563', 'ENSMUSG00000051729', 'ENSMUSG00000031343']",0.02168731391429901
4.1,subclass,040 OB Trdn Gaba,150,0.8018867924528302,0.8947368421052632,0.5666666666666667,249552,10,65,85,2,"['ENSMUSG00000049001', 'ENSMUSG00000069372']",0.10795196145772934
4.1,subclass,041 OB-in Frmd7 Gaba,1800,0.18819702602230481,0.9204545454545454,0.045,247905,7,1719,81,3,"['ENSMUSG00000048078', 'ENSMUSG00000011171', 'ENSMUSG00000036131']",0.0
4.1,subclass,042 OB-out Frmd7 Gaba,550,0.13754045307443366,1.0,0.03090909090909091,249162,0,533,17,2,"['ENSMUSG00000037610', 'ENSMUSG00000090698']",0.26810023188591003
4.1,subclass,043 OB-mi Frmd7 Gaba,150,0.24193548387096772,1.0,0.06,249562,0,141,9,3,"['ENSMUSG00000019772', 'ENSMUSG00000007877', 'ENSMUSG00000036131']",0.29165807366371155
4.1,subclass,044 OB Dopa-Gaba,550,0.45977011494252873,1.0,0.14545454545454545,249162,0,470,80,3,"['ENSMUSG00000026872', 'ENSMUSG00000038668', 'ENSMUSG00000020140']",0.053421519696712494
4.1,subclass,045 OB-STR-CTX Inh IMN,1410,0.25027808676307006,0.9278350515463918,0.06382978723404255,248295,7,1320,90,3,"['ENSMUSG00000026872', 'ENSMUSG00000041911', 'ENSMUSG00000085936']",0.031222669407725334
4.1,subclass,046 Vip Gaba,2050,0.5857214680744093,0.966804979253112,0.22731707317073171,247646,16,1584,466,2,"['ENSMUSG00000019772', 'ENSMUSG00000031364']",0.15227776765823364
4.1,subclass,047 Sncg Gaba,1100,0.2945205479452055,0.9555555555555556,0.07818181818181819,248608,4,1014,86,3,"['ENSMUSG00000084946', 'ENSMUSG00000038296', 'ENSMUSG00000035105']",0.07854638248682022
